	Median_foF2	2025-11-11	2025-11-12	2025-11-13	2025-11-14	2025-11-15	2025-11-16	2025-11-17	2025-11-18	2025-11-19	2025-11-20	2025-11-21	2025-11-22	2025-11-23	2025-11-24	2025-11-25	2025-11-26	2025-11-27	2025-11-28	2025-11-29	2025-11-30	2025-12-01	2025-12-02	2025-12-03	2025-12-04	2025-12-05	2025-12-06	2025-12-07	2025-12-08	2025-12-09	2025-12-10	2025-12-11	2025-12-12	2025-12-13	2025-12-14
Jam_01	8.852	9.283	9.288	9.294	9.299	9.304	9.265	9.226	9.187	9.147	9.108	9.069	9.029	8.990	8.951	8.912	8.872	8.833	8.794	8.754	8.715	8.676	8.636	8.597	8.558	8.432	8.393	8.353	8.314			8.195	8.155	8.116	8.076
Jam_02	8.213	8.569	8.577	8.586	8.594	8.603	8.569	8.535	8.501	8.468	8.434	8.400	8.366	8.332	8.298	8.264	8.230	8.196	8.163	8.129	8.095	8.061	8.027	7.993	7.959	7.846	7.811	7.777	7.743			7.640	7.606	7.572	7.537
Jam_03	7.483	7.671	7.681	7.691	7.702	7.712	7.692	7.672	7.652	7.632	7.612	7.592	7.573	7.553	7.533	7.513	7.493	7.473	7.453	7.434	7.414	7.394	7.374	7.354	7.334	7.239	7.219	7.199	7.178			7.117	7.097	7.076	7.056
Jam_04	6.544	6.607	6.616	6.626	6.635	6.645	6.636	6.627	6.618	6.610	6.601	6.592	6.583	6.575	6.566	6.557	6.548	6.540	6.531	6.522	6.513	6.505	6.496	6.487	6.478	6.400	6.391	6.382	6.372			6.344	6.335	6.326	6.316
Jam_05	6.186	6.346	6.350	6.354	6.358	6.362	6.347	6.331	6.316	6.301	6.285	6.270	6.255	6.239	6.224	6.209	6.194	6.178	6.163	6.148	6.132	6.117	6.102	6.086	6.071	5.996	5.980	5.964	5.949			5.901	5.886	5.870	5.854
Jam_06	7.084	7.488	7.480	7.473	7.465	7.457	7.425	7.392	7.360	7.327	7.295	7.262	7.230	7.197	7.165	7.132	7.100	7.068	7.035	7.003	6.970	6.938	6.905	6.872	6.840	6.755	6.722	6.690	6.657			6.558	6.525	6.492	6.459
Jam_07	8.659	9.211	9.190	9.168	9.147	9.126	9.085	9.045	9.004	8.963	8.923	8.882	8.841	8.801	8.760	8.719	8.679	8.638	8.597	8.556	8.516	8.475	8.434	8.394	8.353	8.260	8.219	8.178	8.137			8.014	7.973	7.932	7.891
Jam_08	9.779	10.319	10.291	10.262	10.234	10.205	10.168	10.131	10.094	10.057	10.020	9.983	9.946	9.909	9.872	9.835	9.798	9.761	9.724	9.687	9.650	9.613	9.576	9.539	9.502	9.408	9.370	9.333	9.296			9.184	9.147	9.109	9.072
Jam_09	10.287	10.806	10.782	10.757	10.732	10.708	10.671	10.635	10.598	10.561	10.525	10.488	10.452	10.415	10.378	10.342	10.305	10.269	10.232	10.195	10.159	10.122	10.086	10.049	10.012	9.916	9.879	9.843	9.806			9.695	9.659	9.622	9.585
Jam_10	10.952	11.528	11.515	11.502	11.488	11.475	11.430	11.384	11.339	11.293	11.248	11.202	11.157	11.111	11.066	11.020	10.975	10.929	10.884	10.838	10.793	10.747	10.702	10.656	10.611	10.506	10.460	10.415	10.369			10.232	10.186	10.140	10.095
